Campaign_ID,Campaign_Name,Start_Date,End_Date,Channel,Spend,Revenue,ROI
b7394c5f-6377-408f-b37c-cbada02cb50c,Front-line zero administration contingency,2024-12-15,2025-08-08,Social Media,13584.17,9373.11,1.59
7a020f97-e742-4f1a-8f1a-099d07685ece,Cloned analyzing throughput,2025-06-17,2025-08-08,Billboard,46741.97,34889.17,1.55
b253396d-9b5b-4acf-87c4-79167dc9903f,Integrated well-modulated firmware,2025-04-19,2025-08-08,Billboard,37364.07,31197.85,2.0
adf2f0cb-0739-4482-909a-7e1ab74f43a8,Proactive clear-thinking circuit,2025-01-08,2025-08-08,Billboard,45915.95,57195.08,-0.48
da50851d-b8a9-4960-9f96-a8fc9aa591d0,Distributed national analyzer,2025-02-09,2025-08-08,Social Media,1888.62,18450.93,1.39
548814b3-2d34-4028-b597-c79c8eac056e,Open-source discrete structure,2025-04-17,2025-08-08,Email,3027.29,96941.48,1.6
d3141a8d-616b-4346-b85d-07b37e4f0969,Future-proofed local projection,2024-11-01,2025-08-08,Billboard,25380.64,3137.78,1.54
95d17e09-e2c0-45f4-82ea-fa0d7dd7f526,Managed 5thgeneration time-frame,2025-07-26,2025-08-08,TV,21555.07,30078.39,1.2
bf2a7107-d766-4bad-98c5-1f135c0d050e,De-engineered maximized neural-net,2025-08-03,2025-08-08,Radio,17723.62,77758.86,1.27
2173d118-19f2-4a4c-af92-57d54f2b9dec,Devolved well-modulated migration,2025-07-30,2025-08-08,Social Media,3930.56,3794.81,0.56
6a7b5e9e-688f-453d-a66b-df34a722797c,Managed radical frame,2024-12-15,2025-08-08,Email,4537.25,89416.97,0.77
f5883e08-7344-4504-9ad4-e5d7e6486dcd,Extended responsive matrices,2025-03-08,2025-08-08,Social Media,31889.51,29283.45,1.28
9fb699c0-fcdb-4297-88c1-9e0bca21eacc,Right-sized bifurcated productivity,2025-06-05,2025-08-08,Email,30050.78,77209.92,1.47
18ba3580-998b-4fbe-b4f9-b22b1913415b,Expanded systematic firmware,2025-04-12,2025-08-08,Radio,8996.14,38203.97,0.57
1b58720b-fc0c-4cbd-bbff-a9a0c62c83fe,Compatible homogeneous data-warehouse,2025-06-26,2025-08-08,Billboard,39894.68,78165.38,1.42
7641b530-7b12-47fa-91f8-f1af7e678a0f,Progressive mission-critical Graphical User Interface,2025-03-08,2025-08-08,Billboard,28565.46,44060.47,1.19
b9b56308-6585-402c-b833-98611cb45aae,Implemented 3rdgeneration benchmark,2025-03-22,2025-08-08,Billboard,14109.25,46974.58,0.8
36572cb6-6634-44e2-b7f9-f8c9245a588e,Proactive zero-defect support,2025-05-17,2025-08-08,Social Media,29330.01,24177.9,-0.0
28039082-ea20-4b47-946a-98d4c6e39c71,Up-sized asymmetric circuit,2025-02-16,2025-08-08,TV,15665.67,7436.25,0.59
273eb739-fef0-4d14-a3ba-46ba2ea17e8d,Profound user-facing Graphic Interface,2025-03-05,2025-08-08,Social Media,37052.01,83166.95,-0.01
51a140cf-f097-47ad-b4dc-3a8c093e10c6,Digitized system-worthy artificial intelligence,2025-01-21,2025-08-08,Email,17437.72,75657.38,1.52
899681ac-bac2-4f1b-aa6a-d2d260833522,Optional discrete complexity,2024-11-01,2025-08-08,TV,20283.04,85162.59,1.9
40fded9e-cb96-42af-9489-c6ff3dc2abab,Distributed exuding adapter,2025-07-18,2025-08-08,Social Media,4336.01,51056.13,0.84
d010f3c4-d06b-44ad-befc-b26e65de4711,Diverse bifurcated archive,2024-11-03,2025-08-08,Billboard,21694.79,20091.27,0.35
da99dcf5-d514-424a-b8f9-77861f68e18c,Distributed explicit superstructure,2025-06-26,2025-08-08,Email,36269.29,57269.07,1.22
0853dab7-3a4a-4a90-bdbc-9e063ccb6d35,Multi-layered context-sensitive instruction set,2025-04-19,2025-08-08,Social Media,8891.26,61419.48,0.02
8f0808af-1628-4418-82a3-2c45004aae3a,User-centric homogeneous database,2024-08-09,2025-08-08,Email,39675.81,2324.92,1.81
5c7f4509-085b-4978-a2cd-2d91bebb89f3,Inverse 24/7 project,2025-06-30,2025-08-08,TV,42408.5,5377.77,1.37
caad31a3-f3e5-4da9-97a1-b81c5c80b5d7,Visionary system-worthy implementation,2024-08-22,2025-08-08,Email,27354.09,74265.07,1.96
64e6ec27-b3f2-4d86-85cd-164bb2e08776,Function-based executive conglomeration,2024-08-12,2025-08-08,Email,3215.22,10570.91,0.38
dfaaf5c5-cd74-4a7b-a19e-d3120f05dfc3,Reduced hybrid moderator,2024-09-06,2025-08-08,TV,11900.45,91058.79,-0.37
cefc32e2-97a8-4983-bd7e-f65fada0c13d,Advanced web-enabled throughput,2025-05-14,2025-08-08,Radio,35395.85,86226.97,1.71
e41aab8d-6a1f-4e18-8645-95d382d326d8,Face-to-face empowering solution,2025-07-19,2025-08-08,Radio,35625.71,67068.89,0.04
4bf5e864-5e8e-4f17-9fba-55fb2324d880,Proactive cohesive task-force,2025-03-15,2025-08-08,Social Media,22968.74,81121.07,-0.2
49263f1c-142c-4802-ba6f-9b222e7502a7,Business-focused optimizing moderator,2024-12-10,2025-08-08,Social Media,9412.3,34184.06,0.33
6da04fad-23bd-4735-aa88-bb4d80d15337,Balanced bottom-line system engine,2024-09-12,2025-08-08,Email,7990.14,77814.67,0.86
e285bd69-e60a-4222-b7b9-22d0827558d9,Polarized web-enabled info-mediaries,2024-09-22,2025-08-08,Radio,29582.32,7432.3,-0.35
e3e10932-a3aa-42da-a88c-8b1934ab2b50,Profit-focused contextually-based conglomeration,2024-11-05,2025-08-08,Email,21837.26,27750.16,1.3
7df3522c-eb68-482f-96fc-1e758a41ef11,Universal disintermediate orchestration,2025-03-02,2025-08-08,Email,34516.41,23676.51,0.64
e362e636-14f8-4d5f-9a83-809aeadc5881,Multi-lateral multi-tasking website,2024-12-16,2025-08-08,Social Media,8957.24,37628.24,-0.32
15e4b711-cc9d-4ff2-b78b-40f9a16714aa,Enhanced holistic artificial intelligence,2025-06-28,2025-08-08,Billboard,26449.8,82706.61,1.44
3977e10d-23eb-4fee-8d09-d2916f7e9fd5,Team-oriented systemic middleware,2025-05-21,2025-08-08,Radio,45485.32,22634.57,0.71
100015f8-5e8e-49c2-aebe-5967247dfd97,Expanded bandwidth-monitored solution,2025-02-27,2025-08-08,Billboard,49514.89,21831.03,1.34
2723a220-1b25-49c3-93dd-901c1468879d,Reactive fault-tolerant orchestration,2025-07-24,2025-08-08,TV,18338.37,78437.5,0.8
7d59fa24-3b37-46a6-ae50-f63eaed00d28,Mandatory directional framework,2025-07-31,2025-08-08,Email,5287.81,41619.56,1.29
2e5f8aa1-0a48-457a-b511-972ee768386e,Robust non-volatile policy,2025-04-21,2025-08-08,Social Media,9884.16,46678.75,1.07
be640b8b-0d68-4e6e-b59a-54d18a375542,Enterprise-wide maximized knowledgebase,2024-08-30,2025-08-08,Social Media,41167.9,15189.61,0.78
e78a973f-9aaa-4a9c-a072-be5c414d669a,Future-proofed zero tolerance analyzer,2025-01-14,2025-08-08,Email,37360.81,88494.0,0.65
c9d012f7-5403-4a3d-9ba3-647459b83fa9,Advanced optimal system engine,2024-11-23,2025-08-08,Billboard,41091.69,17182.11,0.89
50b64254-e422-4286-8b46-dd2a88feb11c,Future-proofed high-level productivity,2024-12-15,2025-08-08,TV,29342.15,5979.32,1.54
b3d1e662-b0f8-4f95-a4dc-4b4dd077a15b,Re-engineered grid-enabled framework,2024-11-24,2025-08-08,Billboard,35519.82,63706.91,1.78
ed5ebf5c-e9f5-4327-9990-ba3204471629,Automated composite encoding,2024-09-08,2025-08-08,TV,18958.25,9458.45,1.66
1fe69ab2-3123-4b53-98fd-52e77ba5e926,Enhanced even-keeled project,2024-09-30,2025-08-08,Billboard,39633.38,15952.44,-0.03
e95d740b-adf3-4785-9385-e44adf4610a4,Decentralized bi-directional algorithm,2024-09-29,2025-08-08,Radio,46892.43,80028.66,-0.37
5f6f39fe-6103-4055-ba46-5841c94e50dd,Operative encompassing access,2025-03-18,2025-08-08,Radio,7671.73,81437.41,1.02
fb582793-952e-453b-9bf9-39f28f62cb83,Switchable dynamic Graphic Interface,2025-03-25,2025-08-08,Social Media,26036.14,83392.12,-0.16
95daff26-e994-4ce7-b8a2-f45d0d8ee9ec,Extended bifurcated superstructure,2025-05-21,2025-08-08,Billboard,46422.4,58134.19,0.17
3a412aea-9aaa-4aa4-9a2b-845f216b254e,Synchronized stable throughput,2025-05-24,2025-08-08,TV,47384.34,85661.76,0.15
96b3a3ab-3901-4bea-906f-2f596dbe4cf4,User-friendly value-added interface,2024-10-29,2025-08-08,Radio,41808.31,52224.88,1.31
